original_species,location_name,provenance_latitude,provenance_longitude,growth_site_lat,growth_site_lon,growing_conditions,reference,original_duration,original_recovery,original_term,HT_type,static_dynamic,duration_category,recovery_category,method,HT_standardized,full_ht_method,comments,Family,HT,Agriculture_sp,Notes_on_ag_status,updated_species,wcvp_authors
Corymbia calophylla,"Western Sydney University Nursery, Richmond, NSW, Australia",NA,NA,-33.61,150.74,greenhouse,"Ahrens CW, Challis A, Byrne M, Leigh A, Nicotra AB, Tissue D, Rymer P. 2021. Repeated extreme heatwaves result in higher leaf thermal tolerances and greater safety margins. New Phytologist 232: 1212-1225",15,1440,T50,T50,static,(5-25],(720-1440],FvFm,T50,(5-25]  (720-1440]  T50  FvFm,Mean T50 for populations from several provenances,Myrtaceae,47.8,N,NA,Corymbia calophylla,(Lindl.) K.D.Hill & L.A.S.Johnson
Aeluropus littoralis,Valley Vakhsha Tadjikistan,37.59402,68.95435,37.59402,68.95435,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,48.2,N,NA,Aeluropus littoralis,(Gouan) Parl.
Alopecurus pratensis,Leningrad (St. Petersburg),59.89106,30.33191,59.89106,30.33191,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,44.1,N,NA,Alopecurus pratensis,L.
Alopecurus ventricosus,Far Zelentsy Barentov Sea,NA,NA,NA,NA,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,43.8,N,NA,Alopecurus ventricosus,(Gouan) Huds.
Anthoxanthum alpinum,"Chibiny, Russia",67.66864,33.71599,67.66864,33.71599,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,large error in location,Poaceae,43.8,N,NA,Anthoxanthum alpinum,Á.Löve & D.Löve
Anthoxanthum odoratum,Leningrad (St. Petersburg),59.89106,30.33191,59.89106,30.33191,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,43.8,N,NA,Anthoxanthum odoratum,L.
Arctophila fulva,"Chibiny, Russia",67.66864,33.71599,67.66864,33.71599,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,large error in location,Poaceae,42.3,N,NA,Arctophila fulva,(Trin.) Andersson
Aristida karelini,"Ashgabat, Turkmenistan",37.93268,58.3359,37.93268,58.3359,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,49.5,N,NA,Aristida karelinii,(Trin. & Rupr.) Roshev.
Bromus inermis,Leningrad (St. Petersburg),59.89106,30.33191,59.89106,30.33191,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,44,N,NA,Bromus inermis,Leyss.
Chloris uliginosa,"Ashgabat, Turkmenistan",37.93268,58.3359,37.93268,58.3359,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,48.1,N,NA,Chloris uliginosa,Hack.
Clinelymus nutans,Pamir Chechekty,39.32322,73.22833,39.32322,73.22833,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,large error in location,Poaceae,45.8,N,NA,Clinelymus nutans,(Griseb.) Nevski
Cynodon dactylon,"Duishanbe, Tajikistan",38.57659,68.78311,38.57659,68.78311,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,46.9,N,NA,Cynodon dactylon,(L.) Pers.
Dactylis glomerata,Leningrad (St. Petersburg),59.89106,30.33191,59.89106,30.33191,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,44.2,N,NA,Dactylis glomerata,L.
Deschampsia caespitosa,"Chibiny, Russia",67.66864,33.71599,67.66864,33.71599,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,large error in location,Poaceae,44.1,N,NA,Deschampsia caespitosa,P.Beauv.
Deschampsia flexuosa,"Chibiny, Russia",67.66864,33.71599,67.66864,33.71599,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,large error in location,Poaceae,45.2,N,NA,Deschampsia flexuosa,(L.) Trin.
Eleusine indica,Leningrad (St. Petersburg),59.89106,30.33191,59.89106,30.33191,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,49.15,N,NA,Eleusine indica,(L.) Gaertn.
Elymus angustus,Leningrad (St. Petersburg),59.89106,30.33191,59.89106,30.33191,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,45.7,N,NA,Elymus angustus,Trin.
Elymus arenarius,Leningrad (St. Petersburg),59.89106,30.33191,59.89106,30.33191,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,45.6,N,NA,Elymus arenarius,L.
Festuca rubra,Leningrad (St. Petersburg),59.89106,30.33191,59.89106,30.33191,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,44.1,N,NA,Festuca rubra,L.
Hordeum bulbosum,"Duishanbe, Tajikistan",38.57659,68.78311,38.57659,68.78311,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,44.9,Y,Wild barley,Hordeum bulbosum,L.
Hordeum sativum,Leningrad (St. Petersburg),59.89106,30.33191,59.89106,30.33191,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,45.7,Y,type of barley,Hordeum sativum,Jess.
Imperata cylindrica,"Duishanbe, Tajikistan",38.57659,68.78311,38.57659,68.78311,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,48.3,N,NA,Imperata cylindrica,(L.) Raeusch.
Molinia caerulea,Leningrad (St. Petersburg),59.89106,30.33191,59.89106,30.33191,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,45.1,N,NA,Molinia caerulea,(L.) Moench
Panicum miliaceum,Leningrad (St. Petersburg),59.89106,30.33191,59.89106,30.33191,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,48.5,Y,millet,Panicum miliaceum,L.
Pospalum dilatatum,"Ashgabat, Turkmenistan",37.93268,58.3359,37.93268,58.3359,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,48.2,N,NA,Paspalum dilatatum,Poir.
Phragmites communis,Leningrad (St. Petersburg),59.89106,30.33191,59.89106,30.33191,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,45.7,N,NA,Phragmites communis,Trin.
Poa alpina,"Chibiny, Russia",67.66864,33.71599,67.66864,33.71599,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,large error in location,Poaceae,43.5,N,NA,Poa alpina,L.
Poa bulbosa,"Duishanbe, Tajikistan",38.57659,68.78311,38.57659,68.78311,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,44.6,N,NA,Poa bulbosa,L.
Poa pratensis,Leningrad (St. Petersburg),59.89106,30.33191,59.89106,30.33191,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,44.8,N,NA,Poa pratensis,L.
Poa silvicola,"Duishanbe, Tajikistan",38.57659,68.78311,38.57659,68.78311,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,43.4,N,NA,Poa sylvicola,Guss.
Poa tibetica,Pamir Chechekty,39.32322,73.22833,39.32322,73.22833,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,large error in location,Poaceae,43.9,N,NA,Poa tibetica,Munro ex Stapf
Poa trivialis,Leningrad (St. Petersburg),59.89106,30.33191,59.89106,30.33191,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,43.8,N,NA,Poa trivialis,L.
Puccinellia capillaris,Leningrad (St. Petersburg),59.89106,30.33191,59.89106,30.33191,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,42.5,N,NA,Puccinellia capillaris,(Lilj.) Jansen
Puccinellia diffusa,Leningrad (St. Petersburg),59.89106,30.33191,59.89106,30.33191,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,42.4,N,NA,Puccinellia diffusa,(V.I.Krecz.) V.I.Krecz. ex Drobov
Puccinellia gigantea,Leningrad (St. Petersburg),59.89106,30.33191,59.89106,30.33191,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,42.5,N,NA,Puccinellia gigantea,(Grossh.) Grossh.
Puccinellia hackeliana,Pamir Chechekty,39.32322,73.22833,39.32322,73.22833,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,large error in location,Poaceae,43.3,N,NA,Puccinellia hackeliana,(V.I.Krecz.) V.I.Krecz. ex Drobov
Saccharum spontaneum,"Duishanbe, Tajikistan",38.57659,68.78311,38.57659,68.78311,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,47.6,N,NA,Saccharum spontaneum,L.
Secale cereale,Leningrad (St. Petersburg),59.89106,30.33191,59.89106,30.33191,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,35.1,Y,Rye,Secale cereale,L.
Sorghum almum,"Ashgabat, Turkmenistan",37.93268,58.3359,37.93268,58.3359,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,47.7,N,NA,Sorghum almum,Parodi
Sorghum halepense,"Duishanbe, Tajikistan",38.57659,68.78311,38.57659,68.78311,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,47.9,N,NA,Sorghum halepense,(L.) Pers.
Tradescantia fluminensis,Valley Vakhsha Tadjikistan,37.59402,68.95435,37.59402,68.95435,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Commelinaceae,44.5,N,NA,Tradescantia fluminensis,Vell.
Triticum vulgare,Leningrad (St. Petersburg),59.89106,30.33191,59.89106,30.33191,NA,Alexandrov VY. 1964. Cytophysiological and Cytoecological Investigations of Heat Resistance of Plant Cells Toward the Action of High and Low Temperature. The Quarterly Review of Biology 39: 35-77,5,0,streaming,Tcrit,static,(0-5],[0-1],protoplasmic streaming,Tcrit,(0-5]  [0-1]  Tcrit  protoplasmic streaming,NA,Poaceae,45.3,Y,Wheat,Triticum vulgare,Vill.
Tidestromia suffruticosa,NA,NA,NA,NA,NA,in situ,"Berry, J, Bjorkman, O. 1980. Photosynthetic Response and Adaptation to Temperature in Higher Plants. Annu. Rev. Plant Physiol. 31: 491-543",NA,0,NA,T50,static,NA,NA,FvFm,T50,NA  NA  T50  FvFm,NA,Amaranthaceae,52,N,NA,Tidestromia suffruticosa,(Torr.) Standl.
Chelidonium majus,Vienna,NA,NA,48.2139,16.36014,common garden,"Biebl R, Maier. 1969. Tageslange und Temperaturresistenz. Osterreichische Botanische Zeitschrift, 117(2), 176-194",30,10080,NA,T50,static,(25-60],(2880-inf],cell death,T50,(25-60]  (2880-inf]  T50  cell death,"mean:51 ;mean across 10 months. Max=54, min=48; ;This paper has a lot more data involving experiments with daylength manipulation. If you're interested I can extract those too, but I thought -these ambient experiments were most relevant for now -Martijn Slot",Papaveraceae,48,N,NA,Chelidonium majus,L.
Chrysanthemum indicum,Vienna,NA,NA,48.2139,16.36014,common garden,"Biebl R, Maier. 1969. Tageslange und Temperaturresistenz. Osterreichische Botanische Zeitschrift, 117(2), 176-194",30,10080,NA,T50,static,(25-60],(2880-inf],cell death,T50,(25-60]  (2880-inf]  T50  cell death,"mean:51 ;mean across 10 months. Max=54, min=48; ;This paper has a lot more data involving experiments with daylength manipulation. If you're interested I can extract those too, but I thought -these ambient experiments were most relevant for now -Martijn Slot",Asteraceae,50,Y,mums flowers - very widely cultivated,Chrysanthemum indicum,L.
Dianthus barbatus,Vienna,NA,NA,48.2139,16.36014,common garden,"Biebl R, Maier. 1969. Tageslange und Temperaturresistenz. Osterreichische Botanische Zeitschrift, 117(2), 176-194",30,10080,NA,T50,static,(25-60],(2880-inf],cell death,T50,(25-60]  (2880-inf]  T50  cell death,"mean:51 ;mean across 10 months. Max=54, min=48; ;This paper has a lot more data involving experiments with daylength manipulation. If you're interested I can extract those too, but I thought -these ambient experiments were most relevant for now -Martijn Slot",Caryophyllaceae,54,N,NA,Dianthus barbatus,L.
Dianthus caryophyllus,Vienna,NA,NA,48.2139,16.36014,common garden,"Biebl R, Maier. 1969. Tageslange und Temperaturresistenz. Osterreichische Botanische Zeitschrift, 117(2), 176-194",30,10080,NA,T50,static,(25-60],(2880-inf],cell death,T50,(25-60]  (2880-inf]  T50  cell death,"mean:51 ;mean across 10 months. Max=54, min=48; ;This paper has a lot more data involving experiments with daylength manipulation. If you're interested I can extract those too, but I thought -these ambient experiments were most relevant for now -Martijn Slot",Caryophyllaceae,54,Y,Carnation - not edible but very popular,Dianthus caryophyllus,L.
Galinsoga parviflora,Vienna,NA,NA,48.2139,16.36014,common garden,"Biebl R, Maier. 1969. Tageslange und Temperaturresistenz. Osterreichische Botanische Zeitschrift, 117(2), 176-194",30,10080,NA,T50,static,(25-60],(2880-inf],cell death,T50,(25-60]  (2880-inf]  T50  cell death,"mean:51 ;mean across 10 months. Max=54, min=48; ;This paper has a lot more data involving experiments with daylength manipulation. If you're interested I can extract those too, but I thought -these ambient experiments were most relevant for now -Martijn Slot",Asteraceae,48,N,NA,Galinsoga parviflora,Cav.
Galium mollugo,Vienna,NA,NA,48.2139,16.36014,common garden,"Biebl R, Maier. 1969. Tageslange und Temperaturresistenz. Osterreichische Botanische Zeitschrift, 117(2), 176-194",30,10080,NA,T50,static,(25-60],(2880-inf],cell death,T50,(25-60]  (2880-inf]  T50  cell death,"mean:51 ;mean across 10 months. Max=54, min=48; ;This paper has a lot more data involving experiments with daylength manipulation. If you're interested I can extract those too, but I thought -these ambient experiments were most relevant for now -Martijn Slot",Rubiaceae,50,N,NA,Galium mollugo,L.
Parthenocissus tricuspidata,Vienna,NA,NA,48.2139,16.36014,common garden,"Biebl R, Maier. 1969. Tageslange und Temperaturresistenz. Osterreichische Botanische Zeitschrift, 117(2), 176-194",30,10080,NA,T50,static,(25-60],(2880-inf],cell death,T50,(25-60]  (2880-inf]  T50  cell death,"mean:51 ;mean across 10 months. Max=54, min=48; ;This paper has a lot more data involving experiments with daylength manipulation. If you're interested I can extract those too, but I thought -these ambient experiments were most relevant for now -Martijn Slot",Vitaceae,54,N,NA,Parthenocissus tricuspidata,(Siebold & Zucc.) Planch.
Portulaca oleracea,Vienna,NA,NA,48.2139,16.36014,common garden,"Biebl R, Maier. 1969. Tageslange und Temperaturresistenz. Osterreichische Botanische Zeitschrift, 117(2), 176-194",30,10080,NA,T50,static,(25-60],(2880-inf],cell death,T50,(25-60]  (2880-inf]  T50  cell death,"mean:51 ;mean across 10 months. Max=54, min=48; ;This paper has a lot more data involving experiments with daylength manipulation. If you're interested I can extract those too, but I thought -these ambient experiments were most relevant for now -Martijn Slot",Portulacaceae,56,N,NA,Portulaca oleracea,L.
Saxifraga paniculata,Vienna,NA,NA,48.2139,16.36014,common garden,"Biebl R, Maier. 1969. Tageslange und Temperaturresistenz. Osterreichische Botanische Zeitschrift, 117(2), 176-194",30,10080,NA,T50,static,(25-60],(2880-inf],cell death,T50,(25-60]  (2880-inf]  T50  cell death,"mean:51 ;mean across 10 months. Max=54, min=48; ;This paper has a lot more data involving experiments with daylength manipulation. If you're interested I can extract those too, but I thought -these ambient experiments were most relevant for now -Martijn Slot",Saxifragaceae,54,N,NA,Saxifraga paniculata,Mill.
Sedum ochroleucum,Vienna,NA,NA,48.2139,16.36014,common garden,"Biebl R, Maier. 1969. Tageslange und Temperaturresistenz. Osterreichische Botanische Zeitschrift, 117(2), 176-194",30,10080,NA,T50,static,(25-60],(2880-inf],cell death,T50,(25-60]  (2880-inf]  T50  cell death,"mean:51 ;mean across 10 months. Max=54, min=48; ;This paper has a lot more data involving experiments with daylength manipulation. If you're interested I can extract those too, but I thought -these ambient experiments were most relevant for now -Martijn Slot",Crassulaceae,58,N,NA,Sedum ochroleucum,Chaix
Senecio vulgaris,Vienna,NA,NA,48.2139,16.36014,common garden,"Biebl R, Maier. 1969. Tageslange und Temperaturresistenz. Osterreichische Botanische Zeitschrift, 117(2), 176-194",30,10080,NA,T50,static,(25-60],(2880-inf],cell death,T50,(25-60]  (2880-inf]  T50  cell death,"mean:51 ;mean across 10 months. Max=54, min=48; ;This paper has a lot more data involving experiments with daylength manipulation. If you're interested I can extract those too, but I thought -these ambient experiments were most relevant for now -Martijn Slot",Asteraceae,48,N,NA,Senecio vulgaris,L.
Viola hirta,Vienna,NA,NA,48.2139,16.36014,common garden,"Biebl R, Maier. 1969. Tageslange und Temperaturresistenz. Osterreichische Botanische Zeitschrift, 117(2), 176-194",30,10080,NA,T50,static,(25-60],(2880-inf],cell death,T50,(25-60]  (2880-inf]  T50  cell death,"mean:51 ;mean across 10 months. Max=54, min=48; ;This paper has a lot more data involving experiments with daylength manipulation. If you're interested I can extract those too, but I thought -these ambient experiments were most relevant for now -Martijn Slot",Violaceae,54,N,NA,Viola hirta,L.
Abrodictyum rigidum,"El Yunque National Forest, Puerto Rico",18.29539,-65.8002,18.29539,-65.8002,in situ,"Biebl, R. 1964. Temperaturresistenz tropischer Pflanzen auf Puerto Rico. Protoplasma 59: 133-156",30,5760,Warmeresistenz,T50,static,(25-60],(2880-inf],cell death,T50,(25-60]  (2880-inf]  T50  cell death,"I picked the midpoint of ""partial death"". This is not always consistent with where the author draws a line through the tables, but it is not clear to me on what basis that line is drawn; several species in this study did not have a clearly resolved heat tolerance and I left those out",Hymenophyllaceae,47,N,NA,Abrodictyum rigidum,(Sw.) Ebihara & Dubuisson
