original_species,location_name,provenance_latitude,provenance_longitude,growth_site_lat,growth_site_lon,growing_conditions,reference,original_duration,original_recovery,original_term,HT_type,static_dynamic,duration_category,recovery_category,method,HT_standardized,full_ht_method,comments,Family,HT,Agriculture_sp,Notes_on_ag_status,updated_species,wcvp_authors
Miconia argentea,Punta Galeta,9.4008,-79.8697,9.4008,-79.8697,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,Tcrit,Tcrit,static,(5-25],(720-1440],FvFm,Tcrit,(5-25]  (720-1440]  Tcrit  FvFm,NA,Melastomataceae,48.7,N,NA,Miconia argentea,(Sw.) DC.
Monoon longifolium,Ancon,8.9637,-79.5458,8.9637,-79.5458,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,T50,T50,static,(5-25],(720-1440],FvFm,T50,(5-25]  (720-1440]  T50  FvFm,NA,Annonaceae,51.3,N,NA,Monoon longifolium,(Sonn.) B.Xue & R.M.K.Saunders
Monoon longifolium,Ancon,8.9637,-79.5458,8.9637,-79.5458,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,Tcrit,Tcrit,static,(5-25],(720-1440],FvFm,Tcrit,(5-25]  (720-1440]  Tcrit  FvFm,NA,Annonaceae,50.4,N,NA,Monoon longifolium,(Sonn.) B.Xue & R.M.K.Saunders
Moquilea platypus,Ancon,8.9637,-79.5458,8.9637,-79.5458,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,T50,T50,static,(5-25],(720-1440],FvFm,T50,(5-25]  (720-1440]  T50  FvFm,NA,Chrysobalanaceae,51,N,NA,Moquilea platypus,Hemsl.
Moquilea platypus,Arraijan,8.9394,-79.6423,8.9394,-79.6423,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,Tcrit,Tcrit,static,(5-25],(720-1440],FvFm,Tcrit,(5-25]  (720-1440]  Tcrit  FvFm,NA,Chrysobalanaceae,47.5,N,NA,Moquilea platypus,Hemsl.
Morella cerifera,Parque Nacional Altos de Campana,8.6875,-79.9875,8.6875,-79.9875,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,T50,T50,static,(5-25],(720-1440],FvFm,T50,(5-25]  (720-1440]  T50  FvFm,NA,Myricaceae,49.1,N,NA,Morella cerifera,(L.) Small
Morella cerifera,Parque Nacional Altos de Campana,8.6875,-79.9875,8.6875,-79.9875,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,Tcrit,Tcrit,static,(5-25],(720-1440],FvFm,Tcrit,(5-25]  (720-1440]  Tcrit  FvFm,NA,Myricaceae,44.8,N,NA,Morella cerifera,(L.) Small
Muntingia calabura,Ancon,8.9637,-79.5458,8.9637,-79.5458,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,Tcrit,Tcrit,static,(5-25],(720-1440],FvFm,Tcrit,(5-25]  (720-1440]  Tcrit  FvFm,NA,Muntingiaceae,45.6,N,NA,Muntingia calabura,L.
Muntingia calabura,Ancon,8.9637,-79.5458,8.9637,-79.5458,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,T50,T50,static,(5-25],(720-1440],FvFm,T50,(5-25]  (720-1440]  T50  FvFm,NA,Muntingiaceae,48.1,N,NA,Muntingia calabura,L.
Myrsine coriacea,Parque Nacional Altos de Campana,8.6875,-79.9875,8.6875,-79.9875,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,Tcrit,Tcrit,static,(5-25],(720-1440],FvFm,Tcrit,(5-25]  (720-1440]  Tcrit  FvFm,NA,Primulaceae,44.6,N,NA,Myrsine coriacea,(Sw.) R.Br. ex Roem. & Schult.
Myrsine coriacea,Parque Nacional Altos de Campana,8.6875,-79.9875,8.6875,-79.9875,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,T50,T50,static,(5-25],(720-1440],FvFm,T50,(5-25]  (720-1440]  T50  FvFm,NA,Primulaceae,48.2,N,NA,Myrsine coriacea,(Sw.) R.Br. ex Roem. & Schult.
Ochroma pyramidale,Ancon,8.9637,-79.5458,8.9637,-79.5458,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,Tcrit,Tcrit,static,(5-25],(720-1440],FvFm,Tcrit,(5-25]  (720-1440]  Tcrit  FvFm,NA,Malvaceae,47.4,N,NA,Ochroma pyramidale,(Cav. ex Lam.) Urb.
Ochroma pyramidale,Ancon,8.9637,-79.5458,8.9637,-79.5458,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,T50,T50,static,(5-25],(720-1440],FvFm,T50,(5-25]  (720-1440]  T50  FvFm,NA,Malvaceae,49.7,N,NA,Ochroma pyramidale,(Cav. ex Lam.) Urb.
Oreopanax capitatus,Parque Nacional Altos de Campana,8.6875,-79.9875,8.6875,-79.9875,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,T50,T50,static,(5-25],(720-1440],FvFm,T50,(5-25]  (720-1440]  T50  FvFm,NA,Araliaceae,49.4,N,NA,Oreopanax capitatus,(Jacq.) Decne. & Planch.
Oreopanax capitatus,Parque Nacional Altos de Campana,8.6875,-79.9875,8.6875,-79.9875,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,Tcrit,Tcrit,static,(5-25],(720-1440],FvFm,Tcrit,(5-25]  (720-1440]  Tcrit  FvFm,NA,Araliaceae,47.4,N,NA,Oreopanax capitatus,(Jacq.) Decne. & Planch.
Ormosia macrocalyx,Ancon,8.9637,-79.5458,8.9637,-79.5458,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,Tcrit,Tcrit,static,(5-25],(720-1440],FvFm,Tcrit,(5-25]  (720-1440]  Tcrit  FvFm,NA,Fabaceae,45.5,N,NA,Ormosia macrocalyx,Ducke
Ormosia macrocalyx,Ancon,8.9637,-79.5458,8.9637,-79.5458,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,T50,T50,static,(5-25],(720-1440],FvFm,T50,(5-25]  (720-1440]  T50  FvFm,NA,Fabaceae,48.7,N,NA,Ormosia macrocalyx,Ducke
Otoba novogranatensis,Parque Nacional Altos de Campana,8.6875,-79.9875,8.6875,-79.9875,in situ,"Slot, M, Cala, D, Aranda, J, Virgo, A, Michaletz, ST, Winter, K. 2021. Leaf heat tolerance of 147 tropical forest species varies with elevation and leaf functional traits, but not with phylogeny. Plant Cell Environ. 44: 2414-2427",15,1440,Tcrit,Tcrit,static,(5-25],(720-1440],FvFm,Tcrit,(5-25]  (720-1440]  Tcrit  FvFm,NA,Myristicaceae,43.2,N,NA,Otoba novogranatensis,Moldenke
